Well,TMT
"1G1,",Reporter.intensity.5
"1G10,",Reporter.intensity.14
"1G11,",Reporter.intensity.15
"1G12,",Reporter.intensity.16
"1G13,",Reporter.intensity.17
"1G14,",Reporter.intensity.18
"1G2,",Reporter.intensity.6
"1G3,",Reporter.intensity.7
"1G4,",Reporter.intensity.8
"1G5,",Reporter.intensity.9
"1G6,",Reporter.intensity.10
"1G7,",Reporter.intensity.11
"1G8,",Reporter.intensity.12
"1G9,",Reporter.intensity.13
Carrier,Reporter.intensity.1
Reference,Reporter.intensity.2
,Reporter.intensity.3
,Reporter.intensity.4
